"","quote_price","number_of_days_travelled","quote_delay","extra_cancellation_amount","carer_load_ratio","log_ppp","average_ppp","human_rights_index","rule_of_law_index","water_death_rate","avg_crime_rate","num_people","solo","couple","family","group","others","platform_app","platform_qw","platform_web","discount_0%","discount_5%","discount_10%","discount_15%","discount_20%","Specified Items","Adventure Activities","Snow Sports","Extra Cancellation","Rental Vehicle Insurance Excess","Cruise Cover","Gadget Cover","Existing Medical Condition(s)","Motorcycle Cover","Asia","Europe","Oceania","Middle East","North America","Africa","South America","Central America","Caribbean","Worldwide","convert"
"1",1.70091438226669,4.65888247741648,-0.246510829110119,-0.359285349317488,3.59465528100972,1.2946156600724,0.110332425087133,0.138401766442876,0.199613155740345,-0.560939815527532,-0.68840790949842,2.88312895833806,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0"
"2",-0.427350213952122,-0.441768026932028,-0.745829602217682,-0.359285349317488,-0.361275372265382,-0.761415152052392,-0.495133670976293,0.961100391435058,0.920890407214387,-0.63658667497086,0.477909755694635,0.132825155575053,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"3",0.267755636980329,-0.0774358480499917,1.79237416107909,-0.359285349317488,-0.361275372265382,-0.125962979636172,-0.489924347398134,-1.98988381332165,-2.10101256537842,-0.609353805593048,-0.179352132977693,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"0"
"4",0.0689267322513671,-0.198879907677337,-0.468430283824591,8.86472703325157,3.59465528100972,-0.878154842388844,-0.495372119046144,0.746483358361843,0.808968074896135,-0.654741921222734,0.632559611852828,2.88312895833806,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"0"
"5",-0.457572207470924,-0.462008703536586,-0.759699568137336,0.793716198503644,-0.361275372265382,-0.996985232405018,-0.495537612752965,0.531866325288628,0.808968074896135,-0.672897167474609,0.448912907664973,-0.783942778679283,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"6",0.57792872835751,1.98711316561488,2.277822968267,0.793716198503644,-0.361275372265382,-1.12009673131627,-0.495653339501014,0.639174841825236,0.212048969198792,-0.600276182467111,-1.61952891845088,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0"
"7",-0.428940845189954,-0.401286673722913,-0.551650079342518,-0.359285349317488,-0.361275372265382,1.72398987888851,1.95476790672168,-0.433910323540838,-1.28024879504457,1.5238876290022,0.32325989953644,-0.783942778679283,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"8",-0.339865495871379,-0.300083290700125,-0.731959636298027,-0.359285349317488,2.27601172991802,-0.761415152052392,-0.495133670976293,0.961100391435058,0.920890407214387,-0.63658667497086,0.477909755694635,1.96636102408372,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1"
"9",1.79953351901225,0.0642488881819113,1.58432467228428,0.793716198503644,-0.361275372265382,-0.435714446850351,-0.49371110301855,-0.255062797768301,-0.447049211252274,-0.642638423660967,0.0171820592233434,0.132825155575053,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"0"
"10",-0.281012140071606,-0.401286673722913,-0.37134052238701,0.793716198503644,2.27601172991802,0.521988104438815,-0.446796869500064,0.800137616630147,0.771660630790051,-0.600276182467111,-1.94815986278704,1.96636102408372,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0"
"13",0.022798426354248,-0.239361260886452,-0.662609806699754,-0.359285349317488,-0.361275372265382,-0.878154842388844,-0.495372119046144,0.746483358361843,0.808968074896135,-0.654741921222734,0.632559611852828,0.132825155575053,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1"
