"quote_price","solo","couple","family","group","others","number_of_days_travelled","quote_delay","platform_app","platform_qw","platform_web","discount_0%","discount_5%","discount_10%","discount_15%","discount_20%","Specified Items","Adventure Activities","Snow Sports","Extra Cancellation","Rental Vehicle Insurance Excess","Cruise Cover","Gadget Cover","Existing Medical Condition(s)","Motorcycle Cover","extra_cancellation_amount","carer_load_ratio","Asia","Europe","Oceania","Middle East","North America","Africa","South America","Central America","Caribbean","Worldwide","log_ppp","average_ppp","human_rights_index","rule_of_law_index","water_death_rate","avg_crime_rate","num_people","convert"
1417,0,0,1,0,0,259,37,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.5,1,1,0,0,0,0,0,0,0,0,3.069850723,1174.493786,0.806666667,0.796666667,0.616666667,35.6333333333333,5,0
79,0,1,0,0,0,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,2,1
516,0,1,0,0,0,25,184,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.062752247,11.554529,0.41,0.18,0.35,40.9,2,0
391,0,0,1,0,0,19,21,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,40000,1.5,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,5,0
60,1,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.167892356,0.679372,0.88,0.96,0,47.4,1,0
711,0,1,0,0,0,127,219,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,0,0,1,0,0,0,0,0,0,0,0,-0.341833379,0.455162654,0.9,0.8,0.4,26,2,0
78,1,0,0,0,0,9,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.676502348,4747.908576,0.7,0.4,12.1,46.1,1,0
134,0,0,1,0,0,14,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.164938461,1.46197,0.96,0.99,0.2,47.7,4,1
1479,0,1,0,0,0,32,169,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5000,0,0,1,0,1,0,0,0,0,0,0,0.625112485,4.218057394,0.733333333,0.623333333,0.166666667,42.9333333333333,2,0
171,0,0,1,0,0,9,28,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5000,1,1,0,0,0,0,0,0,0,0,0,1.978225419,95.109833,0.93,0.95,0.4,22.6,4,0
362,0,0,0,0,1,17,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.92,0.96,0.1,49.3,2,1
